ID,TERM,DEFINITION,CATEGORY,TOTAL_FREQUENCY,BOOKS
110,accuracy,,,,
111,accuracyi,,,,
112,accurate,,,,
113,accurately,,,,
114,accursed,,,,
115,accusation,,,,
116,accuse,,,,
117,accuser,,,,
118,acetones,,,,
119,ached,,,,
120,achieved,,,,
121,achievements,,,,
122,achillis,,,,
123,acid,,,,
124,acidfaced,,,,
125,acids,,,,
126,acidstained,,,,
127,acknowledged,,,,
128,acknowledges,,,,
129,acknowledging,,,,
130,acquaintances,,,,
131,acquainted,,,,
132,acquiesce,,,,
133,acquiesced,,,,
134,acquiescence,,,,
135,acquire,,,,
136,acquired,,,,
137,acquirement,,,,
138,acquiring,,,,
139,acquitted,,,,
140,acres,,,,
141,acrid,,,,
142,acrobat,,,,
143,actedhow,,,,
144,acthe,,,,
145,actionable,,,,
146,actionthe,,,,
147,actionyou,,,,
148,actively,,,,
149,activity,,,,
150,acton,,,,
151,actons,,,,
152,actonswhat,,,,
153,actor,,,,
154,actors,,,,
155,actress,,,,
156,acts,,,,
157,acumen,,,,
158,acute,,,,
159,acutely,,,,
160,acuteness,,,,
161,adairs,,,,
162,adams,,,,
163,adapt,,,,
164,adaptable,,,,
165,adapted,,,,
166,adder,,,,
167,addicted,,,,
168,addiction,,,,
169,adding,,,,
170,addition,,,,
171,additional,,,,
172,additions,,,,
173,addleton,,,,
174,addresses,,,,
175,addressing,,,,
177,adds,,,,
178,adelaide,,,,
179,adelaidesouthampton,,,,
180,adequate,,,,
181,adhere,,,,
182,adhered,,,,
183,adherents,,,,
184,adhering,,,,
185,adhesive,,,,
186,adieu,,,,
187,adjective,,,,
188,adjectives,,,,
189,adjoining,,,,
190,adjusted,,,,
191,administered,,,,
192,administration,,,,
193,administrator,,,,
194,admirablebut,,,,
195,admirably,,,,
196,admiral,,,,
197,admiralty,,,,
198,admiraltyit,,,,
199,admire,,,,
200,admired,,,,
201,admirer,,,,
202,admirers,,,,
203,admiring,,,,
204,admission,,,,
205,admits,,,,
206,admittance,,,,
207,admitting,,,,
208,admonishing,,,,
209,ado,,,,
210,adolph,,,,
211,adopt,,,,
212,adorn,,,,
213,adorned,,,,
214,adp,,,,
215,adrift,,,,
216,adroit,,,,
217,adult,,,,
218,adults,,,,
219,advances,,,,
220,advancing,,,,
221,advantages,,,,
222,advent,,,,
223,adventurer,,,,
224,adventurers,,,,
225,adventuress,,,,
226,adventurous,,,,
227,advertise,,,,
228,advertised,,,,
229,advertisementhow,,,,
230,advertisementpierrot,,,,
231,advertisements,,,,
232,advertising,,,,
233,advices,,,,
234,advisability,,,,
235,advisable,,,,
236,advised,,,,
237,adviser,,,,
238,advises,,,,
239,advising,,,,
240,advocate,,,,
241,advocated,,,,
242,advocating,,,,
243,ae,,,,
244,aeroplanes,,,,
245,afar,,,,
246,afeared,,,,
247,affable,,,,
248,affably,,,,
249,affaire,,,,
250,affect,,,,
251,affectation,,,,
252,affecting,,,,
253,affection,,,,
254,affectionate,,,,
255,affectionately,,,,
256,affections,,,,
257,affects,,,,
258,affirmative,,,,
259,afflicted,,,,
260,affliction,,,,
261,affluent,,,,
262,afforded,,,,
263,afghan,,,,
264,afghans,,,,
265,afoot,,,,
266,afresh,,,,
267,africaa,,,,
268,african,,,,
269,aft,,,,
270,afterhold,,,,
271,afteri,,,,
272,aftertaste,,,,
273,afterthoughts,,,,
274,againhere,,,,
275,againjust,,,,
276,againof,,,,
277,againyou,,,,
278,agape,,,,
279,agar,,,,
280,agates,,,,
281,agatha,,,,
282,agathathats,,,,
283,agea,,,,
284,ageblackened,,,,
285,aged,,,,
286,agencies,,,,
287,agentthat,,,,
288,agentthe,,,,
289,ages,,,,
290,aggravated,,,,
291,aggregate,,,,
292,aggressive,,,,
293,aggressively,,,,
294,aggrieved,,,,
295,aghast,,,,
296,agile,,,,
297,agility,,,,
298,agin,,,,
299,agoit,,,,
300,agonies,,,,
301,agonised,,,,
302,agothe,,,,
303,agoto,,,,
304,agreeable,,,,
305,agreedone,,,,
306,agreement,,,,
307,agrees,,,,
308,agricultural,,,,
309,agriculture,,,,
310,ague,,,,
311,aha,,,,
312,ahalf,,,,
313,aided,,,,
314,aiding,,,,
315,ailed,,,,
316,ailing,,,,
317,ails,,,,
318,aim,,,,
319,aimed,,,,
320,aimless,,,,
321,aims,,,,
322,ainstree,,,,
323,airgun,,,,
324,airguns,,,,
325,airhis,,,,
326,airily,,,,
327,airor,,,,
328,airs,,,,
329,airy,,,,
330,aisle,,,,
331,ajar,,,,
332,akbar,,,,
333,akimbo,,,,
334,akin,,,,
335,alarmed,,,,
336,alarming,,,,
337,alarms,,,,
338,alas,,,,
339,albert,,,,
340,aldersgate,,,,
341,aldershot,,,,
342,aldgate,,,,
343,aldridge,,,,
344,aleanin,,,,
345,alehouse,,,,
346,alertness,,,,
347,alexander,,,,
348,alexandria,,,,
349,alexandrian,,,,
350,alexis,,,,
351,algar,,,,
352,alias,,,,
353,alibi,,,,
354,alices,,,,
355,alicia,,,,
356,alienating,,,,
357,alight,,,,
358,alighted,,,,
359,alighting,,,,
360,alike,,,,
361,alisons,,,,
362,alkali,,,,
363,alkaloid,,,,
364,allabsorbing,,,,
365,allan,,,,
366,allardyces,,,,
367,allay,,,,
368,allbut,,,,
369,allby,,,,
370,allcomprehensive,,,,
371,alleging,,,,
372,allegro,,,,
373,allen,,,,
374,alleys,,,,
375,alliance,,,,
376,allied,,,,
377,allies,,,,
378,allimportant,,,,
379,allnight,,,,
380,allotment,,,,
381,allotted,,,,
382,allowance,,,,
383,allowing,,,,
384,allows,,,,
385,allude,,,,
386,alluded,,,,
387,alludes,,,,
388,alluding,,,,
389,alluring,,,,
390,allusions,,,,
391,almighty,,,,
392,almoner,,,,
393,aloft,,,,
394,alongside,,,,
395,aloof,,,,
396,aloysius,,,,
397,alpha,,,,
398,alphabet,,,,
399,alpine,,,,
400,alpinestock,,,,
401,alsobut,,,,
402,altamont,,,,
403,altar,,,,
404,alter,,,,
405,alteration,,,,
406,alterations,,,,
407,alterative,,,,
408,altercation,,,,
409,altered,,,,
410,altering,,,,
411,alternate,,,,
412,alternated,,,,
413,alternately,,,,
414,alternating,,,,
415,alternation,,,,
416,alternatives,,,,
417,alton,,,,
418,aluminium,,,,
419,alying,,,,
420,amalgam,,,,
421,amass,,,,
422,amassed,,,,
423,amassing,,,,
424,amati,,,,
425,amaze,,,,
426,amazed,,,,
427,amazingly,,,,
428,ambassador,,,,
429,ambassadorial,,,,
430,amber,,,,
431,amberandblack,,,,
432,ambiguous,,,,
433,ambition,,,,
434,ambitions,,,,
435,ambitious,,,,
436,ambuscade,,,,
437,ambush,,,,
438,ambut,,,,
439,amen,,,,
440,amendment,,,,
441,amends,,,,
442,amenities,,,,
443,americans,,,,
444,amethyst,,,,
445,amhereabeslaney,,,,
446,amiability,,,,
447,amidst,,,,
448,ammonia,,,,
449,ammunition,,,,
450,amnesty,,,,
451,amost,,,,
452,amounted,,,,
453,amounts,,,,
454,amoy,,,,
455,ample,,,,
456,amplifying,,,,
457,amply,,,,
458,amuse,,,,
459,amuses,,,,
460,amusing,,,,
461,amyl,,,,
462,analogous,,,,
463,analytical,,,,
464,analytically,,,,
465,analyze,,,,
466,anarchist,,,,
467,anatomical,,,,
468,anatomy,,,,
469,anatomyaccurate,,,,
470,ancestor,,,,
471,ancestors,,,,
472,ancestral,,,,
473,ancestry,,,,
474,anchor,,,,
475,anchored,,,,
476,andaman,,,,
477,andamans,,,,
478,andand,,,,
479,andandwell,,,,
480,anderson,,,,
481,andover,,,,
482,andto,,,,
483,andwell,,,,
484,andyes,,,,
485,anecdote,,,,
486,anerley,,,,
487,aneurism,,,,
488,angelic,,,,
489,angels,,,,
490,angelwas,,,,
491,angles,,,,
492,anglia,,,,
493,angloindian,,,,
494,anglosaxon,,,,
495,angrily,,,,
496,anguish,,,,
497,anguishburst,,,,
498,angular,,,,
499,animals,,,,
500,animated,,,,
501,animation,,,,
502,animosity,,,,
503,aniseed,,,,
504,ankle,,,,
505,ankledeep,,,,
506,ankles,,,,
507,anmic,,,,
508,anna,,,,
509,annals,,,,
510,anne,,,,
511,annie,,,,
512,annihilation,,,,
513,announce,,,,
514,announcement,,,,
515,annoy,,,,
516,annoyed,,,,
517,annoying,,,,
518,annoys,,,,
519,annual,,,,
520,annuity,,,,
521,anoints,,,,
522,anomaly,,,,
523,anon,,,,
524,anothera,,,,
525,anotherit,,,,
526,anothermatch,,,,
527,anstruther,,,,
528,answerable,,,,
529,answeredsome,,,,
530,answering,,,,
531,antagonist,,,,
532,antagonistic,,,,
533,antecedents,,,,
534,antenn,,,,
535,anteroom,,,,
536,anthony,,,,
537,anthropological,,,,
538,anthropologists,,,,
539,anticipate,,,,
540,anticipated,,,,
541,anticipation,,,,
542,antics,,,,
543,antidote,,,,
544,antimacassar,,,,
545,antipathy,,,,
546,antiquarian,,,,
547,antiquity,,,,
548,antonio,,,,
549,anxieties,,,,
550,anxiously,,,,
551,anybody,,,,
552,anybodys,,,,
553,anythingyou,,,,
554,aortic,,,,
555,apache,,,,
556,apaches,,,,
557,apartments,,,,
558,apathetic,,,,
559,ape,,,,
560,apelike,,,,
561,aperture,,,,
562,apes,,,,
563,apex,,,,
564,apiece,,,,
565,apologetic,,,,
566,apologies,,,,
567,apologise,,,,
568,apologised,,,,
569,apologising,,,,
570,apologize,,,,
571,apologized,,,,
572,apoplexy,,,,
573,apostolic,,,,
574,appalled,,,,
575,appalling,,,,
576,apparelled,,,,
577,apparent,,,,
578,apparition,,,,
579,appealed,,,,
580,appealing,,,,
581,appeals,,,,
582,appearancebeing,,,,
583,appearances,,,,
584,appearedsince,,,,
585,appearing,,,,
586,appearsthough,,,,
587,appeased,,,,
588,appended,,,,
589,appertaining,,,,
590,appetite,,,,
591,applauding,,,,
592,applause,,,,
593,apple,,,,
594,appledore,,,,
595,applicant,,,,
596,application,,,,
597,applies,,,,
598,applying,,,,
599,appointed,,,,
600,apportioned,,,,
601,appreciable,,,,
602,appreciated,,,,
603,appreciating,,,,
604,appreciation,,,,
605,apprehended,,,,
606,apprehension,,,,
607,apprenticed,,,,
608,approaches,,,,
609,approbation,,,,
610,appropriate,,,,
611,approval,,,,
612,approve,,,,
613,approvingly,,,,
614,approximate,,,,
615,april,,,,
616,apron,,,,
617,aproned,,,,
618,apropos,,,,
619,apt,,,,
620,aptitudes,,,,
621,aqua,,,,
622,aquiline,,,,
623,arab,,,,
624,arabian,,,,
625,arable,,,,
626,arabs,,,,
627,arat,,,,
628,arbitrary,,,,
629,arbour,,,,
630,arca,,,,
631,arcade,,,,
632,arcadia,,,,
633,arcandcompass,,,,
634,arch,,,,
635,archaeologist,,,,
636,arched,,,,
637,archery,,,,
638,archie,,,,
639,architect,,,,
640,architects,,,,
641,architectural,,,,
642,architecture,,,,
643,archives,,,,
644,archologist,,,,
645,archway,,,,
646,archways,,,,
647,arctic,,,,
648,ardent,,,,
649,ardour,,,,
650,arduous,,,,
651,area,,,,
652,areand,,,,
653,arethree,,,,
654,argentine,,,,
655,argue,,,,
656,argues,,,,
657,arguing,,,,
658,arguments,,,,
659,arid,,,,
660,aright,,,,
661,arise,,,,
662,arises,,,,
663,aristocrat,,,,
664,aristocratic,,,,
665,arizona,,,,
666,armchairs,,,,
667,armitage,,,,
668,armitagepercy,,,,
669,armitagethe,,,,
670,armour,,,,
671,armoury,,,,
672,armsand,,,,
673,armstrongs,,,,
674,arnsworth,,,,
675,aromatic,,,,
676,arose,,,,
677,arouse,,,,
678,arousing,,,,
679,arrangement,,,,
680,arranges,,,,
681,arranging,,,,
682,array,,,,
683,arrears,,,,
684,arresting,,,,
685,arrests,,,,
686,arriance,,,,
687,arrives,,,,
688,arriving,,,,
689,arrow,,,,
690,arrowheads,,,,
691,arrows,,,,
692,arsenal,,,,
693,arsenaltechnical,,,,
694,arson,,,,
695,arteries,,,,
696,artery,,,,
697,arthurs,,,,
698,arthurthat,,,,
699,articulate,,,,
700,artificial,,,,
701,artillery,,,,
702,artisan,,,,
703,artist,,,,
704,artistic,,,,
705,artists,,,,
706,arts,,,,
707,ascend,,,,
708,ascendancy,,,,
709,ascending,,,,
710,ascertain,,,,
711,ascertained,,,,
712,ascertaining,,,,
713,ascetic,,,,
714,asceticlooking,,,,
715,ascribed,,,,
716,ashen,,,,
717,ashesin,,,,
718,ashore,,,,
719,ashy,,,,
720,asiatic,,,,
721,asingin,,,,
722,askan,,,,
723,askance,,,,
724,askedmorphine,,,,
725,asks,,,,
726,aspect,,,,
727,aspects,,,,
728,asperities,,,,
729,asperity,,,,
730,asphalt,,,,
731,aspired,,,,
732,asprawl,,,,
733,ass,,,,
734,assailant,,,,
735,assailants,,,,
736,assassin,,,,
737,assassinan,,,,
738,assassination,,,,
739,assassins,,,,
740,assault,,,,
741,assaulted,,,,
742,assaults,,,,
743,assemblage,,,,
744,assembled,,,,
745,assent,,,,
746,assented,,,,
747,assert,,,,
748,asserted,,,,
749,assertion,,,,
750,asset,,,,
751,assiduous,,,,
752,assiduously,,,,
753,assignation,,,,
754,assist,,,,
755,assistants,,,,
756,assisted,,,,
757,assisting,,,,
758,assizes,,,,
759,associates,,,,
760,associatesthe,,,,
761,associating,,,,
762,association,,,,
763,associations,,,,
764,assorted,,,,
765,assortment,,,,
766,assuage,,,,
767,assume,,,,
768,assumes,,,,
769,assuming,,,,
770,assuredly,,,,
771,assures,,,,
772,assuring,,,,
773,astampin,,,,
774,asthmatic,,,,
775,astir,,,,
776,astonish,,,,
777,astonishing,,,,
778,astonishingly,,,,
779,astonishmentindeed,,,,
780,astounded,,,,
781,astounding,,,,
782,astrakhan,,,,
783,astray,,,,
784,astride,,,,
785,astronomer,,,,
786,astronomers,,,,
787,astronomy,,,,
788,astronomynil,,,,
789,astute,,,,
790,astutely,,,,
791,astuteness,,,,
792,asunder,,,,
793,asylum,,,,
794,atalkin,,,,
795,atavism,,,,
796,ate,,,,
797,atelriges,,,,
798,athene,,,,
799,athens,,,,
800,athlete,,,,
801,athletes,,,,
802,athletic,,,,
803,athwart,,,,
804,atkinson,,,,
805,atlanta,,,,
806,atlantic,,,,
807,atoms,,,,
808,atone,,,,
809,atonement,,,,
810,atones,,,,
811,atrocious,,,,
812,atrocity,,,,
813,attach,,,,
814,attachedtoo,,,,
815,attaches,,,,
816,attachment,,,,
817,attacks,,,,
818,attain,,,,
819,attained,,,,
820,attainments,,,,
821,attempting,,,,
822,attempts,,,,
823,attend,,,,
824,attendance,,,,
825,attendant,,,,
826,attended,,,,
827,attending,,,,
828,attends,,,,
829,attenta,,,,
830,attentions,,,,
831,attentionwhich,,,,
832,attentive,,,,
833,attentively,,,,
834,attewhy,,,,
835,atthats,,,,
836,attic,,,,
837,attica,,,,
838,attics,,,,
839,attire,,,,
840,attired,,,,
841,attract,,,,
842,attracted,,,,
843,attraction,,,,
844,attractions,,,,
845,attractive,,,,
846,attracts,,,,
847,attribute,,,,
848,attributed,,,,
849,atwhy,,,,
850,au,,,,
851,auckland,,,,
852,auction,,,,
853,audacious,,,,
854,audacity,,,,
855,audible,,,,
856,audiblea,,,,
857,audience,,,,
858,audits,,,,
859,audley,,,,
860,augmented,,,,
861,august,,,,
862,augustine,,,,
863,augusto,,,,
864,augustthe,,,,
865,augustus,,,,
866,aunt,,,,
867,aunties,,,,
868,aunts,,,,
869,aus,,,,
870,austere,,,,
871,austerity,,,,
872,austerlitz,,,,
873,australian,,,,
874,australians,,,,
875,authenticity,,,,
876,author,,,,
877,authoritative,,,,
878,authorship,,,,
879,autobiography,,,,
880,autocrat,,,,
881,autograph,,,,
882,automatic,,,,
883,automatona,,,,
884,autumn,,,,
885,autumnal,,,,
886,auxiliary,,,,
887,available,,,,
888,availed,,,,
889,avarice,,,,
890,aveling,,,,
891,avenge,,,,
892,avenged,,,,
893,avenger,,,,
894,avenging,,,,
895,average,,,,
896,averse,,,,
897,aversion,,,,
898,avert,,,,
899,averted,,,,
900,aviary,,,,
901,avidity,,,,
902,avoided,,,,
903,avoiding,,,,
904,avoids,,,,
905,avowed,,,,
906,await,,,,
907,awaited,,,,
908,awaits,,,,
909,awake,,,,
910,awakened,,,,
911,awakens,,,,
912,awalkin,,,,
913,awayoh,,,,
914,awayyou,,,,
915,awe,,,,
916,awesome,,,,
917,awestruck,,,,
918,awhile,,,,
919,awkward,,,,
920,awoke,,,,
921,awoken,,,,
922,awry,,,,
923,axe,,,,
924,axiom,,,,
925,ay,,,,
926,aye,,,,
927,ayrshires,,,,
928,azof,,,,
929,azure,,,,
930,b,,,,
931,babble,,,,
932,babbled,,,,
933,babbling,,,,
934,babe,,,,
935,baboon,,,,
936,baboonlike,,,,
937,baby,,,,
938,baccypouch,,,,
939,bachelors,,,,
940,backed,,,,
941,backgammon,,,,
942,backgate,,,,
943,background,,,,
944,backhander,,,,
945,backi,,,,
946,backor,,,,
947,backs,,,,
948,backstair,,,,
949,backwards,,,,
950,backwater,,,,
951,backwaters,,,,
952,backwhen,,,,
953,backwoods,,,,
954,backyou,,,,
955,bacon,,,,
956,baddish,,,,
957,bade,,,,
958,baden,,,,
959,badenit,,,,
960,badge,,,,
961,badger,,,,
962,badlyplayed,,,,
963,badquite,,,,
964,baffled,,,,
965,bagatelle,,,,
966,baggage,,,,
967,baggily,,,,
968,baggy,,,,
969,bags,,,,
970,bail,,,,
971,bait,,,,
972,baited,,,,
973,baits,,,,
974,baize,,,,
975,bakers,,,,
976,balanced,,,,
977,balancing,,,,
978,balcony,,,,
979,bald,,,,
980,baldheaded,,,,
981,baldly,,,,
982,baldness,,,,
983,baldwin,,,,
984,baleful,,,,
985,balked,,,,
986,ball,,,,
987,ballarat,,,,
988,balloon,,,,
989,balls,,,,
990,balmoral,,,,
991,balmorals,,,,
992,balmy,,,,
993,balsamic,,,,
994,balustraded,,,,
995,balzac,,,,
996,bamboo,,,,
997,ban,,,,
998,banda,,,,
999,bandage,,,,
1000,bandaged,,,,
1001,bandages,,,,
1002,bandanna,,,,
1003,banded,,,,
1004,bandied,,,,
1005,bandnothing,,,,
1006,bands,,,,
1007,bandy,,,,
1008,bang,,,,
1009,bangalore,,,,
1010,banged,,,,
1011,bangor,,,,
1012,banish,,,,
1013,bankbook,,,,
1014,banked,,,,
1015,bankers,,,,
1016,banking,,,,
1017,bankingaccount,,,,
1018,banknotes,,,,
1019,banks,,,,
1020,banner,,,,
1021,bannistera,,,,
1022,bannisters,,,,
1023,banquet,,,,
1024,banquetinghall,,,,
1025,barbaric,,,,
1026,barbedheaded,,,,
1027,barber,,,,
1028,barberton,,,,
1029,barcelona,,,,
1030,barclays,,,,
1031,barclaysthe,,,,
1032,bared,,,,
1033,bareheaded,,,,
1034,barelli,,,,
1035,bargain,,,,
1036,bargained,,,,
1037,barge,,,,
1038,barges,,,,
1039,bari,,,,
1040,baritsu,,,,
1041,bark,,,,
1042,barked,,,,
1043,barking,,,,
1044,barmaid,,,,
1045,barnicot,,,,
1046,barnicots,,,,
1047,barometer,,,,
1048,barometric,,,,
1049,baron,,,,
1050,baronetit,,,,
1051,baronets,,,,
1052,barons,,,,
1053,baronthe,,,,
1054,barque,,,,
1055,barracks,,,,
1056,barraud,,,,
1057,barredtailed,,,,
1058,barrels,,,,
1059,barren,,,,
1060,barrenness,,,,
1061,barrett,,,,
1062,barricade,,,,
1063,barricaded,,,,
1064,barrier,,,,
1065,barriers,,,,
1066,barrister,,,,
1067,barrow,,,,
1068,barrymores,,,,
1069,bars,,,,
1070,bartholomews,,,,
1071,barton,,,,
1072,barts,,,,
1073,baryta,,,,
1074,basaltic,,,,
1075,base,,,,
1076,based,,,,
1077,basement,,,,
1078,bashful,,,,
1079,basil,,,,
1080,basiland,,,,
1081,basin,,,,
1082,bask,,,,
1084,basket,,,,
1085,basketchair,,,,
1086,basketful,,,,
1087,baskets,,,,
1088,basking,,,,
1089,basle,,,,
1090,bass,,,,
1091,batch,,,,
1092,bated,,,,
1093,bathed,,,,
1094,bathing,,,,
1095,bathroom,,,,
1096,bathsheba,,,,
1097,bathsponge,,,,
1098,battalion,,,,
1099,battered,,,,
1100,battery,,,,
1101,battle,,,,
1102,battleaxe,,,,
1103,battleship,,,,
1104,battlesignals,,,,
1105,baulk,,,,
1106,baulks,,,,
1107,bawl,,,,
1108,bawling,,,,
1109,baxter,,,,
1110,baxters,,,,
1111,bay,,,,
1112,bayard,,,,
1113,baying,,,,
1114,bayness,,,,
1115,bayonets,,,,
1116,bayswater,,,,
1117,baythe,,,,
1118,beach,,,,
1119,beacons,,,,
1120,beads,,,,
1121,beady,,,,
1122,beagle,,,,
1123,beak,,,,
1124,beam,,,,
1125,beamed,,,,
1126,beams,,,,
1127,bean,,,,
1128,beardgolden,,,,
1129,beards,,,,
1130,bearer,,,,
1131,bearers,,,,
1132,bearhe,,,,
1133,bearinga,,,,
1134,bearings,,,,
1135,bearskin,,,,
1136,beasts,,,,
1137,beatand,,,,
1138,beatitude,,,,
1139,beats,,,,
1140,beauchamp,,,,
1141,beaune,,,,
1142,beauties,,,,
1143,beautifully,,,,
1144,beautyeh,,,,
1145,beautywas,,,,
1146,becher,,,,
1147,bechers,,,,
1148,beckenham,,,,
1149,beckoned,,,,
1150,beckoning,,,,
1151,bedchamber,,,,
1152,beddington,,,,
1153,bediamonded,,,,
1154,bedraggled,,,,
1155,beds,,,,
1156,bedside,,,,
1157,bedtime,,,,
1158,bee,,,,
1159,beech,,,,
1160,beecher,,,,
1161,beechers,,,,
1162,beef,,,,
1163,beefarming,,,,
1164,beehive,,,,
1165,beenyes,,,,
1166,beer,,,,
1167,bees,,,,
1168,beeswax,,,,
1169,beeswing,,,,
1170,beetle,,,,
1171,beetleridden,,,,
1172,beetles,,,,
1173,beetling,,,,
1174,befall,,,,
1175,befallen,,,,
1176,befell,,,,
1177,befits,,,,
1178,befogged,,,,
1179,befooled,,,,
1180,beforeabout,,,,
1181,beforebefore,,,,
1182,beforebreakfast,,,,
1183,beforeso,,,,
1184,beforesuch,,,,
1185,befrogged,,,,
1186,beget,,,,
1187,beggar,,,,
1188,beggarly,,,,
1189,beggarman,,,,
1190,beggars,,,,
1191,beggary,,,,
1192,begging,,,,
1193,beginnin,,,,
1194,beginnings,,,,
1195,begins,,,,
1196,begs,,,,
1197,beguiling,,,,
1198,behalf,,,,
1199,behave,,,,
1200,behaved,,,,
1201,behaving,,,,
1202,behaviour,,,,
1203,behold,,,,
1204,beige,,,,
1205,bein,,,,
1206,beings,,,,
1207,beingsa,,,,
1208,belated,,,,
1209,belfast,,,,
1210,belgian,,,,
1211,belgium,,,,
1212,belgrade,,,,
1213,belied,,,,
1214,believers,,,,
1215,believes,,,,
1216,believing,,,,
1217,belladonna,,,,
1218,belle,,,,
1219,bellinger,,,,
1220,belliver,,,,
1221,bellow,,,,
1222,bellowed,,,,
1223,bellpull,,,,
1224,bellropes,,,,
1225,bellwhich,,,,
1226,belly,,,,
1227,belminster,,,,
1228,belmont,,,,
1229,belong,,,,
1230,belonging,,,,
1231,belongings,,,,
1232,beloved,,,,
1233,belt,,,,
1234,bemoaning,,,,
1235,bemused,,,,
1236,ben,,,,
1237,benares,,,,
1238,bench,,,,
1239,bend,,,,
1240,bender,,,,
1241,benefactor,,,,
1242,benefit,,,,
1243,benevolence,,,,
1244,benevolent,,,,
1245,bengal,,,,
1246,bentinck,,,,
1247,bentleys,,,,
1248,benz,,,,
1249,bequeathed,,,,
1250,bequest,,,,
1251,bereaved,,,,
1252,bereavement,,,,
1253,berkshire,,,,
1254,berkshires,,,,
1255,berlin,,,,
1256,bermondsey,,,,
1257,bermuda,,,,
1258,bernstone,,,,
1259,bert,,,,
1260,berth,,,,
1261,berths,,,,
1262,bertillon,,,,
1263,beryl,,,,
1264,beryls,,,,
1265,beseeching,,,,
1266,besetting,,,,
1267,beshawled,,,,
1268,besmirched,,,,
1269,besotted,,,,
1270,besought,,,,
1271,bespectacled,,,,
1272,bespoke,,,,
1273,bestbalanced,,,,
1274,bestiality,,,,
1275,bestirred,,,,
1276,bestow,,,,
1277,bestpreserved,,,,
1278,bet,,,,
1279,betaken,,,,
1280,bethought,,,,
1281,betimes,,,,
1282,betokened,,,,
1283,betray,,,,
1284,betrayal,,,,
1285,betrayed,,,,
1286,betraying,,,,
1287,betrothal,,,,
1288,bets,,,,
1289,betterlined,,,,
1290,betting,,,,
1291,bettingbook,,,,
1292,betwixt,,,,
1293,beverley,,,,
1294,bewailing,,,,
1295,beware,,,,
1296,bewildered,,,,
1297,bewildering,,,,
1298,bewilderment,,,,
1299,bhurtee,,,,
1300,bias,,,,
1301,biased,,,,
1302,biases,,,,
1303,biassed,,,,
1304,bible,,,,
1305,biblical,,,,
1306,bibliophile,,,,
1307,bicycled,,,,
1308,bicycles,,,,
1309,bicycling,,,,
1310,bicyclist,,,,
1311,bid,,,,
1312,bidding,,,,
1313,biddle,,,,
1314,bided,,,,
1315,biding,,,,
1316,bids,,,,
1317,bier,,,,
1318,bigger,,,,
1319,biggest,,,,
1320,bighornfor,,,,
1321,bijou,,,,
1322,bileshot,,,,
1323,bilious,,,,
1324,billet,,,,
1325,billets,,,,
1326,billiard,,,,
1327,billiardcue,,,,
1328,billiardmarker,,,,
1329,billiardroom,,,,
1330,billiards,,,,
1331,bills,,,,
1332,billycock,,,,
1333,bimetallic,,,,
1334,bind,,,,
1335,binding,,,,
1336,binomial,,,,
1337,biographer,,,,
1338,biographies,,,,
1339,biography,,,,
