term,suggested_category,similarity_score,is_seed,oov
signals,Physical evidence,0.4522,False,False
signal_answer,General use,0.0,False,True
signal,Physical evidence,0.4522,False,False
sign_violence,General use,0.0,False,True
sign,Detection and investigation terms,0.4054,False,False
sight_spot,General use,0.0,False,True
sight_mr,General use,0.0,False,True
sight_miss,General use,0.0,False,True
sight_figure,General use,0.0,False,True
sight_face,General use,0.0,False,True
sight_eyes,General use,0.0,False,True
sight_appear,General use,0.0,False,True
sight,Weapons and projectiles,0.8046,False,False
sierra,Clothing and personal items,0.3279,False,False
sidetable,Crime scene objects,0.1392,False,False
side_windows,General use,0.0,False,True
side_window_cab,General use,0.0,False,True
side_heart,General use,0.0,False,True
side,Physical evidence,0.4547,False,False
sickness,Substances and poisons,0.419,False,False
shutters,Clothing and personal items,0.4263,False,False
shrinking,Physical evidence,0.4078,False,False
shoulders,Injuries and body parts,0.2866,False,False
shoulder,Injuries and body parts,0.3412,False,False
shot_revolver,General use,0.0,False,True
shot,Locations and environments,0.5392,False,False
shorthand,Physical evidence,0.4147,False,False
shortcomings,Physical evidence,0.4236,False,False
shop_window,General use,0.0,False,True
sholtos,General use,0.0,False,True
sholto,General use,0.0,False,True
shoes_bedroom,General use,0.0,False,True
shoes,Clothing and personal items,0.4681,False,False
shoe,Clothing and personal items,0.4681,True,False
shock,Physical evidence,0.5672,False,False
shirt_trousers,General use,0.0,False,True
shirt,Physical evidence,0.4869,False,False
ship,Locations and environments,0.4125,False,False
shield,Weapons and projectiles,0.8046,False,False
sheets,Crime scene objects,0.6618,False,False
sheet_paper,General use,0.0,False,True
sheet_notepaper,General use,0.0,False,True
sheet,Crime scene objects,0.6618,False,False
shave,Injuries and body parts,0.4882,False,False
sharpness,Physical evidence,0.531,False,False
share,Detection and investigation terms,0.3594,False,False
shape,Physical evidence,0.2613,False,False
shag_tobacco,General use,0.0,False,True
shadow,Clothing and personal items,0.3389,False,False
severity,Injuries and body parts,0.5011,False,False
settee,Crime scene objects,0.1392,False,False
service,Physical evidence,0.3147,False,False
servants,Locations and environments,0.3268,False,False
servant,Locations and environments,0.1704,False,False
series,Crime scene objects,0.2307,False,False
sergeant,Locations and environments,0.5392,False,False
sentinel,Injuries and body parts,0.5964,False,False
sentences,Physical evidence,0.4147,False,False
sense,Crime scene objects,0.4097,False,False
sensation_disappearance,General use,0.0,False,True
seeds,Clothing and personal items,0.4116,False,False
sedative,Physical evidence,0.4353,False,False
secretary,Detection and investigation terms,0.2856,False,False
secret,Clothing and personal items,0.3389,False,False
seat,Locations and environments,0.2429,False,False
search,Physical evidence,0.4134,False,False
sea,Clothing and personal items,0.357,False,False
screwdriver,Weapons and projectiles,0.858,False,False
scraps,Crime scene objects,0.6618,False,False
scrapbook,Crime scene objects,0.6618,False,False
scrap_paper,General use,0.0,False,True
scrap,Crime scene objects,0.6618,False,False
scott,Clothing and personal items,0.3978,False,False
scotland_yard_mr,General use,0.0,False,True
scotland_yard_inspector,General use,0.0,False,True
scotland_yard_,Clothing and personal items,0.1296,False,False
scotland_yard,General use,0.0,False,True
scotland,Clothing and personal items,0.3628,False,False
scope,Physical evidence,0.5156,False,False
scissors,Weapons and projectiles,0.858,False,False
science,Injuries and body parts,0.4584,False,False
school,Physical evidence,0.3369,False,False
scholarship,Detection and investigation terms,0.5802,False,False
scent,Weapons and projectiles,0.3333,False,False
scene,Clothing and personal items,0.3468,False,False
scar,Physical evidence,0.3957,False,False
scandals,Detection and investigation terms,0.4471,False,False
scandal_people,General use,0.0,False,True
scandal_matter,General use,0.0,False,True
scandal_man,General use,0.0,False,True
scandal,Detection and investigation terms,0.4006,False,False
sawdust,Clothing and personal items,0.4176,False,False
savage,Weapons and projectiles,0.3917,False,False
saturdays,Physical evidence,0.1323,False,False
satisfaction,Detection and investigation terms,0.4022,False,False
san,Clothing and personal items,0.3628,False,False
sample_facts,General use,0.0,False,True
sample,Physical evidence,0.4847,False,False
salt,Clothing and personal items,0.4108,False,False
sake,Clothing and personal items,0.4149,False,False
saints,Locations and environments,0.2872,False,False
safety_night,General use,0.0,False,True
safety,Physical evidence,0.4882,False,False
safes,Weapons and projectiles,0.1836,False,False
s_hand,General use,0.0,False,True
s_face,General use,0.0,False,True
s,Clothing and personal items,0.1296,False,False
rumours,Detection and investigation terms,0.5081,False,False
rumour,Detection and investigation terms,0.369,False,False
rule,Detection and investigation terms,0.5204,False,False
ruddy_face,General use,0.0,False,True
rubbish,Clothing and personal items,0.4523,False,False
row,Physical evidence,0.4547,False,False
rounds,Weapons and projectiles,0.8046,False,False
round,Weapons and projectiles,0.3967,False,False
ross,Clothing and personal items,0.3759,False,False
rope,Weapons and projectiles,0.3157,False,False
rooms_windows,General use,0.0,False,True
rooms,Physical evidence,0.3913,False,False
room_today,General use,0.0,False,True
room_tobacco,General use,0.0,False,True
room_smoke,General use,0.0,False,True
room_sight,General use,0.0,False,True
room_papers,General use,0.0,False,True
room_lawn,General use,0.0,False,True
room_hat,General use,0.0,False,True
room_hand,General use,0.0,False,True
room_furniture,General use,0.0,False,True
room_face,General use,0.0,False,True
room,Detection and investigation terms,0.4953,False,False
roofs,Clothing and personal items,0.7726,False,False
roof,Physical evidence,0.4545,False,False
rolls_paper,General use,0.0,False,True
rollers,Physical evidence,0.3559,False,False
roll_paper,General use,0.0,False,True
rocks,Clothing and personal items,0.4108,False,False
rock,Clothing and personal items,0.4108,False,False
robbery,Detection and investigation terms,0.3511,False,False
robber,Locations and environments,1.0,False,False
road_sight,General use,0.0,False,True
road,Locations and environments,0.2452,False,False
riverside,Clothing and personal items,0.3628,False,False
river,Crime scene objects,0.3788,False,False
rival,Detection and investigation terms,0.4328,False,False
ritual,Physical evidence,0.3546,False,False
rise,Physical evidence,0.5313,False,False
ring,Clothing and personal items,0.249,False,False
rigidity,Physical evidence,0.4078,False,False
right,Physical evidence,0.4912,False,False
rifles,Weapons and projectiles,0.8046,False,False
rifle,Weapons and projectiles,0.8046,False,False
ridge,Clothing and personal items,0.3628,False,False
richness,Physical evidence,0.4202,False,False
ribs,Clothing and personal items,0.4423,False,False
ribbon,Crime scene objects,0.6618,False,False
revolver_wound,General use,0.0,False,True
revolver_pocket,General use,0.0,False,True
revolver_man,General use,0.0,False,True
revolver_hand,General use,0.0,False,True
revolver_drawer_pocket,General use,0.0,False,True
revolver_drawer,General use,0.0,False,True
revolver_door,General use,0.0,False,True
revolver,Weapons and projectiles,0.8046,False,False
reversion,Physical evidence,0.4575,False,False
reverse,Physical evidence,0.5818,False,False
revenge,Locations and environments,0.4527,False,False
return,Crime scene objects,0.3418,False,False
results,Physical evidence,0.4134,False,False
result,Physical evidence,0.4134,False,False
rest_drive,General use,0.0,False,True
rest,Physical evidence,0.4706,False,False
responsibility_position,General use,0.0,False,True
resource,Physical evidence,0.513,False,False
resignation,Crime scene objects,0.6038,False,False
research,Physical evidence,0.4847,False,False
reputation,Detection and investigation terms,0.3173,False,False
representative,Detection and investigation terms,0.5578,False,False
reports,Crime scene objects,0.6409,False,False
reporting,Detection and investigation terms,0.4842,False,False
reporter,Detection and investigation terms,0.4842,False,False
report_time,General use,0.0,False,True
report_evening,General use,0.0,False,True
report,Crime scene objects,0.6409,False,False
reply_telegram,General use,0.0,False,True
reply,Crime scene objects,0.3973,False,False
reparation_power,General use,0.0,False,True
remembrance,Crime scene objects,0.3933,False,False
remark,Crime scene objects,0.233,False,False
relief,Injuries and body parts,0.4764,False,False
relative,Physical evidence,0.5954,False,False
relation_incidents,General use,0.0,False,True
relation,Physical evidence,0.5954,False,False
registry,Clothing and personal items,0.2371,False,False
regiment,Weapons and projectiles,0.4407,False,False
regard,Detection and investigation terms,0.5212,False,False
refinement,Detection and investigation terms,0.5695,False,False
references,Physical evidence,0.5728,False,False
reference,Physical evidence,0.5728,False,False
reeds,Clothing and personal items,0.7726,False,False
red,Clothing and personal items,0.4639,False,False
record,Crime scene objects,0.169,False,False
recognition,Detection and investigation terms,0.3484,False,False
rebels,Locations and environments,0.5878,False,False
rebel,Locations and environments,0.5878,False,False
reasons,Physical evidence,0.5728,False,False
reasoning,Physical evidence,0.5728,False,False
reason,Physical evidence,0.4912,False,False
reach,Detection and investigation terms,0.3811,False,False
rambles,Physical evidence,0.2657,False,False
rain_windows,General use,0.0,False,True
rain,Substances and poisons,0.2961,False,False
questions,Detection and investigation terms,0.3803,False,False
question_significance,General use,0.0,False,True
question_point,General use,0.0,False,True
question_note,General use,0.0,False,True
question,Detection and investigation terms,0.3803,False,False
queer,Clothing and personal items,0.2871,False,False
quarters,Clothing and personal items,0.2845,False,False
quarter,Physical evidence,0.2971,False,False
quarrel,Detection and investigation terms,0.443,False,False
quantity_blood,General use,0.0,False,True
qualifications,Detection and investigation terms,0.3131,False,False
pursuit,Detection and investigation terms,0.3795,False,False
pursuers,Weapons and projectiles,0.4471,False,False
purpose,Detection and investigation terms,0.5212,False,False
pulse,Physical evidence,0.4522,False,False
pulp,Physical evidence,0.4225,False,False
public,Detection and investigation terms,0.4624,False,False
protest,Crime scene objects,0.3949,False,False
prosecution,Detection and investigation terms,0.5493,False,False
propriety,Detection and investigation terms,0.4486,False,False
proposition,Detection and investigation terms,0.5212,False,False
property,Detection and investigation terms,0.2658,False,False
proofs,Physical evidence,0.5728,False,False
proof,Physical evidence,0.5728,False,False
promise,Detection and investigation terms,0.4235,False,False
prominence,Detection and investigation terms,0.5497,False,False
programme,Detection and investigation terms,0.5061,False,False
profiles,Physical evidence,0.4847,False,False
professor,Detection and investigation terms,0.39,False,False
profession_time,General use,0.0,False,True
profession_name,General use,0.0,False,True
profession,Detection and investigation terms,0.5802,False,False
problem,Physical evidence,0.4912,False,False
probability,Physical evidence,0.5954,False,False
prizes,Detection and investigation terms,0.3484,False,False
prize,Detection and investigation terms,0.3484,False,False
prisoner_magistrates,General use,0.0,False,True
prisoner,Locations and environments,0.4113,False,False
prints,Crime scene objects,0.6618,False,False
printing,Physical evidence,0.29,False,False
printer,Physical evidence,0.29,False,False
print,Crime scene objects,0.6618,False,False
principle,Detection and investigation terms,0.5212,False,False
prime,Clothing and personal items,0.4381,False,False
price,Clothing and personal items,0.2957,False,False
pretext,Detection and investigation terms,0.5212,False,False
presumption,Detection and investigation terms,0.5212,False,False
presence_forces,General use,0.0,False,True
presence_death,General use,0.0,False,True
presence,Detection and investigation terms,0.415,False,False
prediction,Physical evidence,0.4438,False,False
precursor,Physical evidence,0.5614,False,False
precautions_man,General use,0.0,False,True
precautions,Physical evidence,0.5301,False,False
precaution,Physical evidence,0.4974,False,False
pray,Crime scene objects,0.3254,False,False
practice,Physical evidence,0.4213,False,False
powers,Clothing and personal items,0.3389,False,False
power_scent,General use,0.0,False,True
power_man,General use,0.0,False,True
power_,Detection and investigation terms,0.3936,False,False
power,Detection and investigation terms,0.5695,False,False
powder_window,General use,0.0,False,True
