airy,full of air; also affected or pretentious,General use
aisle,a passage between rows of seats,General use
ajar,slightly open,General use
akbar,a Mughal emperor; also a name used in colonial context,Victorian slang and social context
akimbo,arms bent at elbows with hands on hips,General use
akin,related to or similar,General use
alarmed,feeling or showing fear,General use
alarming,causing anxiety or fear,General use
alarms,plural of alarm; warnings,General use
alas,expression of sorrow or regret,General use
albert,a male given name; also a type of watch chain (Albert chain),Clothing and personal items
aldersgate,a district in London; appears in Holmes stories,Locations and environments
aldershot,a town in England; military base,Locations and environments
aldgate,a historic gate in London; location in stories,Locations and environments
aldridge,a surname; also a place name,Locations and environments
alehouse,a pub or tavern in 19th-century England,Locations and environments
alertness,quality of being watchful,Detection and investigation terms
alexander,a male given name; historical or biblical,Victorian slang and social context
alexandria,a city in Egypt; colonial reference point,Locations and environments
alexandrian,relating to Alexandria,Locations and environments
alexis,a male given name,Victorian slang and social context
algar,a surname or place name; appears in "The Adventure of the Abbey Grange",Locations and environments
alias,an assumed name,Crime scene objects
alibi,a defense claiming one was elsewhere when a crime occurred,Crime scene objects
alices,plural of Alice; possibly reference to "Alice in Wonderland" or name,General use
alicia,a female given name,General use
alienating,causing someone to feel isolated (present participle),General use
alight,to descend from a vehicle or land (as a bird),General use
alighted,descended or landed (past tense),General use
alighting,descending or landing (present participle),General use
alike,very similar,General use
alisons,plural of Alison (female name),General use
alkali,a base substance that neutralizes acids; used in chemistry,Substances and poisons
alkaloid,organic compound with nitrogen often toxic,Substances and poisons
allabsorbing,completely engrossing,General use
allardyces,a surname,Victorian slang and social context
allay,to reduce fear or concern,General use
allbut,almost; nearly,General use
allcomprehensive,covering everything,General use
alleging,claiming without proof (present participle),Detection and investigation terms
allegro,a musical term meaning fast and lively,General use
alleys,narrow passageways; often in urban crime settings,Locations and environments
alliance,union or association for mutual benefit,General use
allied,connected by bond or relationship,General use
allies,plural of ally,General use
allimportant,extremely significant,General use
allnight,lasting the entire night,General use
allotment,a small piece of land for gardening; also a share,General use
allotted,assigned or distributed (past tense),General use
allowance,a fixed amount of money or permission,General use
allowing,permitting (present participle),General use
allows,permits (third-person singular),General use
allude,to refer to indirectly,General use
alluded,mentioned indirectly (past tense),General use
alludes,refers to indirectly (third-person singular),General use
alluding,referring to indirectly (present participle),General use
alluring,temptingly attractive,General use
allusions,plural of allusion,General use
almighty,all-powerful; often referring to God,General use
almoner,an official who distributes charity; church role,Victorian slang and social context
aloft,up high; overhead,General use
alongside,next to or together with,General use
aloof,detached or distant in manner,General use
aloy sius,likely a misspelling of "Aloysius" (a given name),Victorian slang and social context
alpha,the first letter of the Greek alphabet; used symbolically,General use
alphabet,the set of letters in a language,General use
alpine,relating to the Alps; also mountain climbers,Locations and environments
alpinestock,a walking stick used by mountain climbers,Clothing and personal items
alsobut,concatenation ("also but"),General use
term,definition,category
altamont,a proper name; appears in "The Valley of Fear" as alias of Professor Moriarty,Victorian slang and social context
altar,a sacred table in a church; sometimes symbolic,Locations and environments
alter,to change or modify,General use
alteration,a change in form or nature,General use
alterations,plural of alteration,General use
altercation,a noisy argument or fight,Crime scene objects
altered,changed in form or nature (past tense),General use
altering,changing (present participle),General use
alternate,occurring in turn; every other,General use
alternated,happened in turn (past tense),General use
alternately,in a way that switches back and forth,General use
alternating,switching between states (present participle),General use
alternation,the action of alternating,General use
alternatives,plural of alternative,General use
alton,a town in England; also a surname,Locations and environments
aluminium,a lightweight metallic element; used in industrial and domestic items,Physical evidence
amalgam,a mixture of metals, especially with mercury; used in dentistry or chemistry,Substances and poisons
amass,to gather together in large quantities,General use
amassed,collected or gathered (past tense),General use
amassing,gathering over time (present participle),General use
amati,a famous family of violin makers; reference to fine instruments,Clothing and personal items
amaze,to greatly surprise,General use
amazed,very surprised (past tense),General use
amazingly,in a way that causes great surprise,General use
ambassador,a diplomatic representative of a nation,Victorian slang and social context
ambassadorial,relating to an ambassador,Victorian slang and social context
amber,a yellowish fossilized resin; also a color,Physical evidence
amberandblack,likely dropped — appears to be a concatenated phrase,,
ambiguous,open to more than one interpretation,General use
ambition,a strong desire to achieve something,General use
ambitions,plural of ambition,General use
ambitious,having a strong desire for success or power,General use
ambuscade,an old term for ambush; surprise attack,Crime scene objects
ambush,a surprise attack from a concealed position,Crime scene objects
amen,an expression of agreement or conclusion usually religious,General use
amendment,a change or addition to a document or law,General use
amends,compensation for a wrong,General use
amenities,conveniences or features that make life easier,General use
americans,people from the United States; appears in Holmes stories,Victorian slang and social context
amethyst,a purple semi-precious gemstone,Clothing and personal items
amiability,quality of being friendly and agreeable,General use
amidst,in the middle of; surrounded by,General use
ammonia,a pungent gas or solution used in cleaning or chemistry,Substances and poisons
ammunition,projectiles and propellant used in firearms,Weapons and projectiles
amnesty,an official pardon for an offense,General use
amounted,came to a total; signified (past tense),General use
amounts,plural of amount,General use
amoy,an old spelling of Xiamen a port city in China,Locations and environments
ample,sufficient in quantity; large,General use
amplifying,increasing in volume or strength (present participle),General use
amply,sufficiently or generously,General use
amuse,to entertain or amuse,General use
amuses,entertains (third-person singular),General use
amusing,entertaining or funny,General use
amyl,short for amyl nitrite or related compounds; a volatile substance,Substances and poisons
analogous,similar in some way; comparable,General use
analytical,relating to logical analysis,Detection and investigation terms
analytically,in a methodical reasoning manner,Detection and investigation terms
analyze,to examine in detail,Detection and investigation terms
anarchist,a person who opposes government or authority,Crime scene objects
anatomical,relating to the structure of organisms,Injuries and body parts
anatomy,the structure of a body or organism,Injuries and body parts
anatomyaccurate,dropped — concatenation of "anatomy accurate",,
ancestor,a person from whom one is descended,Victorian slang and social context
ancestors,plural of ancestor,Victorian slang and social context
ancestral,relating to ancestors,Victorian slang and social context
ancestry,lineage or family origin,Victorian slang and social context
anchor,a heavy object used to moor a ship; also metaphorical,Locations and environments
anchored,secured by an anchor (past tense),Locations and environments
andaman,refers to the Andaman Islands (British penal colony),Locations and environments
andamans,plural form of Andaman,Locations and environments
andover,a town in Hampshire England,Locations and environments
anecdote,a short amusing or interesting story,General use
anerley,a district in South London; appears in "The Adventure of the Empty House",Locations and environments
aneurism,an old spelling of "aneurysm" — a bulge in a blood vessel,Injuries and body parts
angelic,like an angel; pure or gentle,General use
angels,plural of angel,General use
angles,plural of angle; also reference to perspective or geometry,General use
anglia,Latin for "England"; used in names like "BBC Anglia",Locations and environments
angloindian,a person of mixed British and Indian descent,Victorian slang and social context
anglosaxon,relating to early English people or culture; also racial term in 19th c.,Victorian slang and social context
angrily,in a furious manner,General use
anguish,extreme suffering or pain,Injuries and body parts
angular,sharp-edged; having distinct angles,General use
animals,plural of animal,General use
animated,lively or full of energy,General use
animation,liveliness; also process of bringing to life,General use
animosity,hostility or ill will,General use
aniseed,seed of the anise plant, used for flavoring; sometimes in medicines,Substances and poisons
ankle,the joint connecting foot and leg,Injuries and body parts
ankledeep,extending up to the ankle,General use
ankles,plural of ankle,Injuries and body parts
anna,a former Indian monetary unit,Victorian slang and social context
annals,historical records or chronicles,General use
anne,a female given name,General use
annie,a familiar form of Anne or Ann,General use
annihilation,complete destruction,General use
announce,to declare publicly,General use
announcement,a public declaration,General use
annoy,to irritate or bother,General use
annoyed,irritated (past tense),General use
annoying,causing irritation,General use
annoys,irritates (third-person singular),General use
annual,occurring once a year,General use
annuity,a fixed yearly payment,Victorian slang and social context
anoints,applies oil or ointment (often religiously),General use
anomaly,an irregularity or deviation from the norm,Physical evidence
anon,soon; after a moment (archaic),General use
anothermatch,dropped — likely fragment ("another match"?),,
anstruther,a Scottish surname or place name,Locations and environments
answerable,accountable or responsible,General use
answering,responding (present participle),General use
antagonist,a person who opposes another,Crime scene objects
antagonistic,showing opposition or hostility,General use
antecedents,ancestors or prior events,Victorian slang and social context
anteroom,a waiting room or small room before a main chamber,Locations and environments
anthony,a male given name,Victorian slang and social context
anthropological,relating to the study of human societies,General use
anthropologists,plural of anthropologist,General use
anticipate,to expect or foresee,General use
anticipated,expected (past tense),General use
anticipation,the act of expecting,General use
antics,playful or foolish behavior,General use
antidote,a remedy for a poison,Substances and poisons
antimacassar,a cloth placed on furniture to protect from hair oil,Clothing and personal items
antipathy,strong dislike,General use
antiquarian,a person interested in antiquities or rare books,Victorian slang and social context
antiquity,ancient times or an ancient object,General use
anxieties,plural of anxiety,General use
anxiously,worriedly or nervously,General use
anybody,any person,General use
anythingyou,dropped — concatenation ("anything you"?),,
aortic,relating to the aorta (major blood vessel),Injuries and body parts
apache,a member of a Native American tribe,Crime scene objects
apaches,plural of apache,Crime scene objects
apartments,rooms or suites of rooms for living",Locations and environments
apathetic,showing no interest or emotion,General use
ape,a non-human primate; also used metaphorically,General use
apelike,resembling an ape in appearance or behavior,General use
aperture,an opening or hole; in optics or photography,Physical evidence
apes,plural of ape,General use
apex,the top or highest point,General use
apiece,each (used after a quantity),General use
apologetic,showing regret,General use
apologies,plural of apology,General use
apologise,to say sorry (UK spelling),General use
apologised,said sorry,General use
apologising,saying sorry,General use
apoplexy,a sudden illness due to blockage or bleeding in the brain; stroke,Injuries and body parts
apostolic,relating to the apostles or early Christianity,General use
appalled,horrified or shocked,General use
appalling,horrifying or dreadful,General use
apparelled,dressed or clothed (archaic),Clothing and personal items
apparent,clearly visible or understood,General use
apparition,a ghostly figure; supernatural appearance,General use
appealed,asked for help or judgment (past tense),General use
appealing,attractive or moving,General use
appeals,plural of appeal,General use
appearances,plural of appearance; also "appearances suggest",General use
appearedsince,dropped — fragment ("appeared since"?),,
appearing,coming into view (present participle),General use
appearsthough,dropped — concatenation ("appears though"?),,
appeased,calmed or satisfied (past tense),General use
appended,added at the end (past tense),General use
appertaining,belonging to (archaic),General use
appetite,a desire for food or something else,General use
applauding,clapping in approval (present participle),General use
applause,clapping to show approval,General use
apple,a common fruit; also symbolic,General use
appledore,a town in Devon England,Locations and environments
applicant,a person who applies for something,General use
application,the act of applying; also a formal request,General use
applies,puts into use or requests (third-person singular),General use
applying,putting into action (present participle),General use
appointed,named to a position; scheduled (past tense),General use
apportioned,distributed or allocated (past tense),General use
appreciable,sufficiently great to be perceived,General use
appreciated,recognized value or enjoyed (past tense),General use
appreciating,increasing in value or showing gratitude (present participle),General use
appreciation,recognition of value,General use
apprehended,arrested or understood (past tense),Detection and investigation terms
apprehension,arrest; also anxiety,General use
apprenticed,trained under a skilled worker (past tense),General use
approaches,plural of approach; also "he approaches",General use
approbation,approval or praise,General use
appropriate,suitable; also to take for one's own,General use
approval,recognition as satisfactory,General use
approve,to agree or sanction,General use
approvingly,in a way that shows approval,General use
approximate,nearly correct; to estimate,General use
april,the fourth month of the year,General use
apron,a protective garment worn over clothes,Clothing and personal items
aproned,wearing an apron,General use
apropos,at an appropriate time; relevant,General use
apt,likely or suitable,General use
aptitudes,natural abilities,General use
aqua,water; often in chemical names,Substances and poisons
aquiline,curved like an eagle's beak; used to describe noses,General use
arab,a person from Arabia,Victorian slang and social context
arabian,relating to Arabia,Victorian slang and social context
arable,suitable for farming,General use
arabs,plural of Arab,Victorian slang and social context
arbitrary,not based on reason; random,General use
arbour,a shady garden structure covered with vines,Locations and environments
arcade,a covered passage with shops,Locations and environments
arcadia,an idealized pastoral region; also a place name,Locations and environments
arcandcompass,symbol of Freemasonry,Victorian slang and social context
arch,a curved structure; also a mischievous person,General use
archaeologist,a scientist who studies human history through artifacts,Victorian slang and social context
arched,shaped like an arch (past tense),General use
archery,practice of using a bow and arrow,Weapons and projectiles
archie,a familiar form of Archibald,Victorian slang and social context
architect,a person who designs buildings,Victorian slang and social context
architects,plural of architect,Victorian slang and social context
architectural,relating to architecture,General use
term,definition,category
architecture,the art or practice of designing buildings,General use
archives,collections of historical documents or records,Locations and environments
archologist,likely a misspelling of "archaeologist" — dropped,,
archway,a covered passage formed by an arch,Locations and environments
archways,plural of archway,Locations and environments
arctic,relating to the North Pole; extremely cold,Locations and environments
ardent,passionately enthusiastic,General use
ardour,emotional intensity; passion (UK spelling),General use
arduous,difficult and tiring,General use
area,a region or section,General use
argentine,relating to Argentina; also a silvery appearance,General use
argue,to give reasons in disagreement,General use
argues,presents reasons in opposition (third-person singular),General use
arguing,presenting reasons (present participle),General use
arguments,plural of argument,General use
arid,extremely dry; barren,General use
aright,correctly or in order,General use
arise,to get up; to emerge,General use
arises,comes into being (third-person singular),General use
aristocrat,a member of the highest social class,Victorian slang and social context
aristocratic,of or relating to aristocrats,Victorian slang and social context
arizona,an American state; postdates most Holmes stories,Locations and environments
armchairs,upholstered chairs with side supports for arms,Clothing and personal items
armitage,a British surname; appears in some editions as a character,Victorian slang and social context
armour,protective metal clothing worn in battle; also metaphorical,Clothing and personal items
armoury,a place where weapons are stored,Weapons and projectiles
armsand,fragment ("arms and"?),,
armstrongs,plural of Armstrong (likely a surname),Victorian slang and social context
arnsworth,likely a rare surname or place name,Victorian slang and social context
aromatic,fragrant; having a pleasant smell,Substances and poisons
arose,rose up; emerged (past tense of arise),General use
arouse,to awaken or provoke,General use
arousing,provoking emotion or interest (present participle),General use
arrangement,a plan or preparation; also a musical adaptation,General use
arranges,organizes or plans (third-person singular),General use
arranging,organizing (present participle),General use
array,an ordered display; also clothing or equipment,General use
arrears,overdue payments or unfinished duties,General use
arresting,striking or attention-grabbing,General use
arrests,takes into custody (third-person singular),Detection and investigation terms
arrow,a projectile shot from a bow,Weapons and projectiles
arrowheads,pointed tips of arrows,Weapons and projectiles
arrows,plural of arrow,Weapons and projectiles
arsenal,a collection of weapons; also a place where they are made,Weapons and projectiles
arsenaltechnical,concatenation — likely "arsenal technical",,
arson,the criminal act of deliberately setting fire to property,Crime scene objects
arteries,blood vessels carrying blood from the heart,Injuries and body parts
artery,a major blood vessel; also a main road,General use
arthurs,plural of Arthur; likely surnames or names,Victorian slang and social context
articulate,able to speak fluently; clearly expressed,General use
artificial,man-made; not natural,General use
artillery,large weapons such as cannons,Weapons and projectiles
artisan,a skilled worker in a craft,Victorian slang and social context
artist,a person who creates art,Victorian slang and social context
artistic,having creative skill,General use
artists,plural of artist,Victorian slang and social context
arts,plural of art; also "the liberal arts",General use
ascend,to go up or climb,General use
ascendancy,dominance or control,General use
ascending,going up (present participle),General use
ascertain,to find out for certain,Detection and investigation terms
ascertained,found out with certainty (past tense),Detection and investigation terms
ascertaining,finding out (present participle),Detection and investigation terms
ascetic,a person who practices self-denial,Victorian slang and social context
asceticlooking,appearing austere or self-disciplined,General use
ascribed,attributed to (past tense),General use
ashen,pale or gray like ashes; often describing a face,Injuries and body parts
ashesin,fragment ("ashes in"?),,
ashore,onto or on the land,General use
ashy,covered in or resembling ash,General use
asiatic,relating to Asia; 19th-century racial/colonial term,Victorian slang and social context
asingin,fragment ("a sing in"?),,
askan,fragment ("ask an"?),,
askance,with suspicion or disapproval,General use
asks,poses a question (third-person singular),General use
aspect,appearance or feature,General use
aspects,plural of aspect,General use
asperities,roughness; also harshness of manner,General use
asperity,harshness of tone or temper,General use
asphalt,a black sticky material used for roads,General use
aspired,desired strongly (past tense),General use
ass,an animal (donkey); also vulgar slang — ambiguous in 19th c.,General use
assailant,a person who attacks another,Crime scene objects
assailants,plural of assailant,Crime scene objects
assassin,a murderer who kills publicly or for political reasons,Crime scene objects
assassination,the murder of a prominent person,Crime scene objects
assassins,plural of assassin,Crime scene objects
assault,a physical attack,Crime scene objects
assaulted,attacked (past tense),Crime scene objects
assaults,attacks (third-person singular),Crime scene objects
assemblage,a gathering or collection,General use
assembled,gathered together (past tense),General use
assent,agreement or approval,General use
assented,agreed (past tense),General use
assert,to state confidently,General use
asserted,stated firmly (past tense),General use
assertion,a confident statement,General use
asset,something valuable,General use
assiduous,showing great care and perseverance,Detection and investigation terms
